_key,active,full_name,team,position,status,espn_id,fantasy_data_id,gsis_id,kalshi_id,oddsjam_id,rotowire_id,rotoworld_id,sportradar_id,stats_id,swish_id,yahoo_id
12591,true,Xavier Watts,ATL,DB,Active,,26067,,4827b396-bd1e-4d91-92fc-890302a3710a,9D003620A51AEC31,18616,,c28798ce-a253-434d-b312-7c95449fcb63,,,
12592,true,Jared Wilson,NE,OL,Active,,26037,,f4a4a651-7262-4aab-9f34-8feb5d9a6931,D7A22F011E4CE5F1,18747,,62a594a6-c41c-4771-8bef-8c51ee09dd17,,,
12593,true,Jack Sawyer,PIT,DL,Active,,26015,,cf93a8c7-eba4-4ba6-8e72-136c3f3f9caa,AB680ADDC7C20D8F,18659,,2743d973-5944-460c-b17c-b1e029b11af9,,,
12594,true,JT Tuimoloau,IND,DL,Active,,25016,,a7db89f5-926b-4883-b7e9-25451e3ea5f9,893343486FD76A4B,18661,,2f930253-2560-4d50-aa9e-512fa00dc902,,,
12595,true,Trey Amos,WAS,DB,Active,,26021,,4876621f-4161-45cd-926f-df0858bfc705,4FE6F8CEC3D80FAD,18588,,84d2fb0a-3277-49e4-8625-9640923f33ea,,,
12596,true,Maxwell Hairston,BUF,DB,Active,,26046,,94be8217-4f86-4aef-97a4-b46f89438896,3CF2FAD1A5014523,18587,,fee39f7c-63e9-4377-969f-a3e6aa520ebb,,,
12597,true,Nick Emmanwori,SEA,DB,Active,,26013,,7fe5373a-eeae-4604-a1da-07b8c970bc41,4C2FB085586B537F,18617,,03af2f58-94a2-403d-b183-0ffad62795fa,,,
12598,true,Jonah Savaiinaea,MIA,OL,Active,,26004,,91ba6ac7-bca6-4814-a2f0-9bde3cc1baea,C3D42C80FDB2E41F,18749,,adf5a2b1-7aa8-4fae-b250-95f299bca688,,,
12599,true,Tyler Booker,DAL,OL,Active,,26009,,a7753835-9b0a-4274-bb2a-99ce5f259628,34A2074D1E3242A4,18771,,93cd9733-b72b-4129-a2a5-373e3dd0675a,,,
126,false,Marcel Reece,,FB,Inactive,11717,3382,,,,5951,5094,814418e3-4db9-4baa-8b48-f66264d6ba38,324242,,9158
1260,false,Josh Bush,,SS,Inactive,15113,14647,,,,8301,,2aff4c73-8b5b-4b71-8959-c73b8013dffc,,,25897
12600,true,Aireontae Ersery,HOU,OL,Active,,26005,,2facd24a-b0a8-45a4-91a5-24f9ca0091f6,8E51AAA5CFA48BBD,18751,,5b31adf0-275a-4a0c-a19b-0b289d4bf299,,,
12601,true,Azareye'h Thomas,NYJ,DB,Active,,26022,,fab19f77-b0f3-4d2d-8ffc-a63cabd7b791,1169DF35A6A53BD3,18585,,6aa62324-5bbb-4059-bd22-65ad7a8cdb74,,,
12602,true,Mykel Williams,SF,DL,Active,,25996,,6ab0ff51-a9df-494f-833d-8f6d8bd6649c,8E27972C8FB706B4,18584,,b53b3aa5-5ef4-4d54-a4f1-8be678e980d2,,,
12603,true,Cobee Bryant,ATL,DB,Active,,26134,,bf99ef7f-1f35-4995-ae75-0b0c64828a56,251416D41E5C0609,18598,,c8584970-2478-11f0-b52e-75a660006007,,,
12604,true,Andrew Mukuba,PHI,DB,Active,,26064,,45d8377c-5381-41f7-9e0e-5014187f2716,7A2A8D85518AB689,18626,,0cb34ce3-42de-42d3-88a4-d242e43b2e34,,,
12605,true,Jacob Parrish,TB,DB,Active,,26035,,8235986d-6c20-49a0-833f-d087fc027998,464F254D90E25851,18591,,5c292ee4-9ffa-4ee3-afe6-d7ce5001b003,,,
12606,true,Ozzy Trapilo,CHI,OL,Active,,26247,,a6876c7b-646a-4e7e-b967-93490750f37f,7794C00F3D4F7DA4,18766,,7b656870-9a01-46dc-8319-662333d74463,,,
12607,true,Jamon Johnson,BAL,LB,Active,,26154,,67b58f26-c20d-4a98-883a-5e54d76ba85b,534F71B7ACD17D7A,18737,,67ffa300-250b-11f0-98d3-01166c061cfb,,,
12608,true,Tyler Batty,MIN,DL,Active,,26184,,95ed06a7-5feb-413c-a0ea-49a875012433,44B4325F396BD1D0,18680,,97dd6190-245a-11f0-8e0c-91ceb47b429a,,,
12609,true,Fadil Diggs,NO,DL,Active,,26189,,fcc17adb-dc90-4c82-99a0-b1947807963f,E196D34344D0E976,18681,,5c0a3fa3-45eb-48f0-93de-7c03f47f760b,,,
1261,true,David DeCastro,,OG,Active,14935,14650,00-0029678,,,8123,7412,f7e3c1cb-6ec1-45fa-ad64-6b01957c34b1,,,25734
12610,true,Princely Umanmielen,CAR,DL,Active,,26019,,ba44cfd7-f496-4f64-90f6-6e184fc14840,941320F72A7A766F,18492,,33d3d9a0-1bac-4a33-b1f5-381f5634c988,,,
12611,true,Lathan Ransom,CAR,DB,Active,,26167,,adf6ed58-73bc-4dca-a2fd-9c531ee4987f,32F2158D505884B5,18625,,05179d37-cbaf-4ff1-9a24-c3d9194aab39,,,
12612,true,T.J. Sanders,BUF,DL,Active,,26053,,d5b5ddf2-0c5d-467d-8a81-4c2216fe61f1,EAE5174F1A9B5056,18689,,78c91cbd-e8ab-42f9-bf92-6bc5f98a09f7,,,
12613,true,Tate Ratledge,DET,OL,Active,,26011,,4d147dcd-0ed0-49f0-8678-854d479877a8,4914744714800B35,17776,,9186aec0-6238-423f-aaa6-72a9e5fe2e89,,,
12614,true,Shemar James,DAL,LB,Active,,26049,,81c505d8-4722-468f-aafa-62e603c5a9a2,1A79262C51B8D7EE,18731,,5c012614-be18-4d9f-8134-112e40e5f54f,,,
12615,true,Omarr Norman-Lott,KC,DT,Active,,26076,,d8f22159-a745-4753-a4a7-1e30a8f86bca,2E19EA3E83127FB0,18705,,04648fce-0bba-40d4-98c0-e18c48e32567,,,
12616,true,Shemar Turner,CHI,DE,Active,,26215,,c82491cd-382d-47a5-ace0-f50d52450287,793E65311C30E8F3,18577,,c70d84d3-b202-42e3-8e6e-5d87170960aa,,,
12617,true,Demetrius Knight,CIN,LB,Active,,26068,,320adbb0-2075-4042-b5ea-16ab3dcdd49f,ECC90B7583BC1D27,18719,,f54f5e3b-da40-4296-a252-8e6a054b35ef,,,
12618,true,Vernon Broughton,NO,DT,Active,,26122,,81d50b97-1217-4429-9729-56f80d0b0fe5,179510D4255C0F58,18699,,899433ed-9e60-4786-ac45-32c415da04c0,,,
12619,true,Jonas Sanker,NO,DB,Active,,26159,,f9d10b4e-9f4e-465b-a872-9767446f7669,074634814E0A22A9,18628,,910ab530-d255-47be-b041-135ee92b1abf,,,
1262,true,Alex Tanney,,QB,Injured Reserve,15693,14657,00-0029623,,,8402,,1c6daf8e-d6dc-4d88-a5fa-c3ebcd93a6e5,616337,,26547
12620,true,Jamaree Caldwell,LAC,DT,Active,,26198,,8eb227c9-84ac-41e7-86c2-23297ee721db,AFE74FE725A7C32A,18692,,f2d4b707-f118-46b8-9697-e0506f29a987,,,
12621,true,Josaiah Stewart,LAR,DE,Active,,26203,,e1d3eabf-e05c-4910-b364-cdeede7afbc7,2DC0D69AEAC0A01F,18662,,11a0dc4d-a8fa-44b4-a630-f2a0042268d6,,,
12622,true,Nohl Williams,KC,CB,Active,,26179,,407dec94-3bbf-4d18-a349-4fc24998e234,526DAFAE5A3908FE,18593,,7d2f964c-1e5d-4f13-a169-62b4a9e35f2c,,,
12623,true,Ashton Gillotte,KC,DE,Active,,26125,,1925229f-5e6c-4941-88f9-a8c265457ab4,187EAB6CD71B19E0,18667,,ccc1bab9-c77d-4d01-857f-9b240b86301a,,,
12624,true,Caleb Rogers,LV,OL,Active,,26212,,cc581464-87c3-42a1-a88a-548f8f332b46,BB01968785C5EED0,18757,,11f0ddf7-c98d-4e93-88ff-0f90607131b1,,,
12625,true,Justin Walley,IND,CB,Active,,26162,,020f18d5-d82a-44e7-8b6d-e9648150b98b,18700AF0DAAE4949,18606,,90e8fdb2-7758-4293-b25c-0c6d6255261c,,,
12626,true,Jaylin Smith,HOU,CB,Active,,26155,,93c7ce07-778e-4653-afd4-b3410e0b7bbc,4E345CE649AD3C0A,18611,,65a9a4da-5aac-4596-ba66-ec3e467463b8,,,
12627,true,Dylan Fairchild,CIN,OL,Active,,26031,,353bedd6-e95b-4b4e-94c2-968e4e5545ea,6877F677F8D16AEC,18792,,72992c08-4d3c-4838-9dd0-4bcd4d8bdafa,,,
12628,true,Sai'vion Jones,DEN,DE,Active,,26126,,56937e9d-ac64-4752-85c5-772f594c59a6,96F3664E07167070,18665,,51b134e9-4aed-4dfc-a2dd-ed03f42b3c0e,,,
12629,true,Emery Jones,BAL,OL,Active,,26033,,f51076db-fc9b-4f91-9a9e-07aa25872482,D49D8A7CCB319FB7,18793,,1e78b112-7458-42ca-8b50-5ef0b154e8de,,,
1263,false,Bernard Pierce,,RB,Inactive,14891,14687,,,,8035,,c5dfc54e-fd64-468f-81a8-073918776412,513119,,25794
12630,true,Nick Martin,SF,LB,Active,,26047,,67cedc5b-a655-427b-a745-a105f9fdc901,526C77F6F8801B5D,,,47d7bf64-314d-4f9a-a0b4-d928efc7d0da,,,
12631,true,Upton Stout,SF,CB,Active,,26194,,4cebca85-7d9b-47ce-905f-9148ef47f1aa,6874CFA8E815C005,18605,,c2e8a5f9-98db-4f9d-8720-c919db450134,,,
12632,true,Caleb Ransaw,JAX,DB,Active,,26133,,55c21ffa-ac92-4223-aca0-ef2f726827c8,2939D7E76EA15772,18597,,12a65657-e762-4238-a080-147f21e6a962,,,
12633,true,Wyatt Milum,JAX,OL,Active,,26000,,bcdb6d45-20cf-4d9e-9b23-95e9b7d8a0f4,622B89998DBD29E9,18768,,fb2dac4a-ee97-458c-856e-702d2fea5c64,,,
