id,value,team
2400,Julius Randle,BKN
2401,Nik Stauskas,IND
2402,Noah Vonleh,SA
2403,Elfrid Payton,NO
2404,Doug McDermott,SAC
2405,Dario Saric,DET
2406,Zach LaVine,SAC
2407,T.J. Warren,NY
2409,Jusuf Nurkic,UTH
2410,James Young,NY
2411,Tyler Ennis,LAL
2412,Gary Harris,DET
2413,Bruno Caboclo,BOS
2414,Mitch McGary,OKC
2415,Jordan Adams,MEM
2416,Rodney Hood,LAC
2417,Shabazz Napier,WAS
2418,Clint Capela,HOU
2420,Bogdan Bogdanovic,HOU
2421,C.J. Wilcox,IND
2422,Josh Huestis,SA
2423,Kyle Anderson,TOR
2424,Damien Inglis,NY
2425,KJ McDaniels,OKC
2426,Joe Harris,DET
2427,Cleanthony Early,NY
2428,Jarnell Stokes,MEM
2429,Johnny O'Bryant,MIL
2431,Spencer Dinwiddie,CHA
2432,Jerami Grant,MEM
2433,Glenn Robinson,MIL
2434,Nikola Jokic,DEN
2435,Nick Johnson,SA
2436,Edy Tavares,CLE
2437,Markel Brown,OKC
2438,Dwight Powell,DAL
2439,Jordan Clarkson,NY
2441,Lamar Patterson,ATL
2444,Thanasis Antetokounmpo,MIL
2445,Vasilije Micic,MIL
2447,Nemanja Dangubic,MEM
2448,Semaj Christon,OKC
2449,Devyn Marble,GS
2452,Jordan McRae,DET
2453,Cory Jefferson,PHI
2456,Eric Moreland,OKC
2457,Will Cherry,GS
2458,Tyler Johnson,SA
2460,Shayne Whittington,IND
2461,Bryce Cotton,MEM
2463,Jack Cooley,SAC
2465,Tarik Black,DEN
2467,James Michael McAdoo,PHI
2469,CJ Fair,CHI
2470,Langston Galloway,IND
2471,Travis Wear,LAL
2472,Khem Birch,SA
2474,Brady Heslip,TOR
2475,Joe Ingles,MIN
2487,Akil Mitchell,BKN
2490,John Holland,CLE
2495,Drew Crawford,TOR
2496,Tim Frazier,CLE
2498,"Ronald Roberts, Jr.",TOR
2499,JaKarr Sampson,IND
2501,Jarell Eddie,CHI
2502,David Stockton,IND
2505,Richard Solomon,OKC
2508,Drew Gordon,BKN
2510,Sean Kilpatrick,CHI
